sampleID,site,location,region,date,depth,mesh,flowin,flowout,distance,duration,volume,vol.cor,sieve,fraction.proc,sizeclass,phylum,class,order,family,genus,species,plot.taxon.g,plot.taxon.d,plot.taxon,labID,stage,sex,length,count,totcount,abundance,lab.processor,processor.notes
JSPK1054,J07,JS,South,2015-06-14,0,250,230011,234844,129.8773389,NA,25.48842775,26.52385685,250,0.01,<1,Arthropoda,Maxillipoda,Calanoida,NA,NA,NA,Calanoid copepod,Copepod (<CV),Copepodite,Copepodite,C1,NA,<2,6,600,22.62,Andrea Le,
JSPK1054,J07,JS,South,2015-06-14,0,250,230011,234844,129.8773389,NA,25.48842775,26.52385685,250,0.01,<1,Arthropoda,Maxillopoda,Poecilostomatoida,Corycaeidae,Corycaeus,NA,Other,Corycaeus,Corycaeus,Corycaeus,NA,NA,<2,24,2400,90.48,Andrea Le,
JSPK1054,J07,JS,South,2015-06-14,0,250,230011,234844,129.8773389,NA,25.48842775,26.52385685,250,0.01,<1,Arthropoda,Maxillopoda,NA,NA,NA,NA,Barnacle,Barnacle,Barnacle,Cyprid,NA,NA,<2,3,300,11.31,Andrea Le,
JSPK1054,J07,JS,South,2015-06-14,0,250,230011,234844,129.8773389,NA,25.48842775,26.52385685,1000,1,02-Jan,Chordata,Actinopterygii,NA,NA,NA,NA,Other,Actinopterygii,Actinopterygii,Egg (fish),NA,NA,<2,2,2,0.08,Andrea Le,
JSPK1054,J07,JS,South,2015-06-14,0,250,230011,234844,129.8773389,NA,25.48842775,26.52385685,250,0.01,<1,NA,NA,NA,NA,NA,NA,Other,Other,Other,Egg (oily),NA,NA,<2,165,16500,622.08,Andrea Le,
JSPK1054,J07,JS,South,2015-06-14,0,250,230011,234844,129.8773389,NA,25.48842775,26.52385685,1000,1,05-Feb,Arthropoda,Hexanauplia,Calanoida,Pontellidae,Epilabidocera,longipedata,Calanoid copepod,Epilabidocera,Epilabidocera,Epilabidocera longipedata,NA,M,3.5,2,2,0.08,Andrea Le,
JSPK1054,J07,JS,South,2015-06-14,0,250,230011,234844,129.8773389,NA,25.48842775,26.52385685,1000,1,05-Feb,Arthropoda,Hexanauplia,Calanoida,Pontellidae,Epilabidocera,longipedata,Calanoid copepod,Epilabidocera,Epilabidocera,Epilabidocera longipedata,NA,F,4.1,4,4,0.15,Andrea Le,
JSPK1054,J07,JS,South,2015-06-14,0,250,230011,234844,129.8773389,NA,25.48842775,26.52385685,1000,1,05-Feb,Arthropoda,Hexanauplia,Calanoida,Pontellidae,Epilabidocera,longipedata,Calanoid copepod,Epilabidocera,Epilabidocera,Epilabidocera longipedata,C5,NA,3.2,1,1,0.04,Andrea Le,
JSPK1054,J07,JS,South,2015-06-14,0,250,230011,234844,129.8773389,NA,25.48842775,26.52385685,250,0.01,02-Jan,Arthropoda,Hexanauplia,Calanoida,Pontellidae,Epilabidocera,longipedata,Calanoid copepod,Epilabidocera,Epilabidocera,Epilabidocera longipedata,NA,NA,<2,1,100,3.77,Andrea Le,
JSPK1054,J07,JS,South,2015-06-14,0,250,230011,234844,129.8773389,NA,25.48842775,26.52385685,250,0.01,02-Jan,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,NA,NA,Euphausiid,Euphausiidae,Euphausiidae,Euphausiid calytopsis,NA,NA,<2,5,500,18.85,Andrea Le,
JSPK1054,J07,JS,South,2015-06-14,0,250,230011,234844,129.8773389,NA,25.48842775,26.52385685,250,0.01,<1,Arthropoda,Branchiopoda,Diplostraca,Podonidae,Evadne,NA,Cladoceran,Evadne,Evadne,Evadne,NA,NA,<2,21,2100,79.17,Andrea Le,
JSPK1054,J07,JS,South,2015-06-14,0,250,230011,234844,129.8773389,NA,25.48842775,26.52385685,2000,1,>10,Arthropoda,Malacostraca,Amphipoda,Gammaridae,NA,NA,Amphipod ,Gammaridae,Amphipoda,Gammarid,NA,NA,18,1,1,0.04,Andrea Le,
JSPK1054,J07,JS,South,2015-06-14,0,250,230011,234844,129.8773389,NA,25.48842775,26.52385685,250,0.01,02-Jan,Arthropoda,Malacostraca,Decapoda,Grapsidae,NA,NA,Decapod ,Grapsidae,Grapsidae,Grapsidae,NA,NA,<2,1,100,3.77,Andrea Le,
JSPK1054,J07,JS,South,2015-06-14,0,250,230011,234844,129.8773389,NA,25.48842775,26.52385685,1000,1,10-May,Cnidaria,Hydrozoa,Anthoathecata,Pandeidae,Halitholus,NA,Other,Halitholus,Halitholus,Halitholus,NA,NA,5,1,1,0.04,Andrea Le,
JSPK1054,J07,JS,South,2015-06-14,0,250,230011,234844,129.8773389,NA,25.48842775,26.52385685,250,0.01,<1,Arthropoda,Maxillipoda,Calanoida,Paracalanidae,Paracalanus,NA,Calanoid copepod,Paracalanus,Paracalanus,Paracalanus,NA,NA,<2,14,1400,52.78,Andrea Le,
JSPK1054,J07,JS,South,2015-06-14,0,250,230011,234844,129.8773389,NA,25.48842775,26.52385685,250,0.01,<1,Arthropoda,Branchiopoda,Diplostraca,Podonidae,Podon,NA,Cladoceran,Podon,Podon,Podon,NA,NA,<2,2,200,7.54,Andrea Le,
JSPK1054,J07,JS,South,2015-06-14,0,250,230011,234844,129.8773389,NA,25.48842775,26.52385685,1000,1,05-Feb,NA,NA,NA,NA,NA,NA,Other,Other,Other,Polyp,NA,NA,4,1,1,0.04,Andrea Le,
JSPK1054,J07,JS,South,2015-06-14,0,250,230011,234844,129.8773389,NA,25.48842775,26.52385685,1000,1,02-Jan,Arthropoda,Maxillipoda,Calanoida,Clausocalanidae,Pseudocalanus,NA,Calanoid copepod,Pseudocalanus,Pseudocalanus,Pseudocalanus,NA,NA,<2,1,1,0.04,Andrea Le,
JSPK1054,J07,JS,South,2015-06-14,0,250,230011,234844,129.8773389,NA,25.48842775,26.52385685,250,0.01,02-Jan,Arthropoda,Maxillipoda,Calanoida,Clausocalanidae,Pseudocalanus,NA,Calanoid copepod,Pseudocalanus,Pseudocalanus,Pseudocalanus,NA,NA,<2,97,9700,365.71,Andrea Le,
JSPK1054,J07,JS,South,2015-06-14,0,250,230011,234844,129.8773389,NA,25.48842775,26.52385685,1000,1,02-Jan,Arthropoda,Hexanauplia,Calanoida,Tortanidae,Tortanus,NA,Calanoid copepod,Tortanus,Tortanus,Tortanus,NA,M,2,8,8,0.3,Andrea Le,
JSPK1054,J07,JS,South,2015-06-14,0,250,230011,234844,129.8773389,NA,25.48842775,26.52385685,1000,1,05-Feb,Arthropoda,Hexanauplia,Calanoida,Tortanidae,Tortanus,NA,Calanoid copepod,Tortanus,Tortanus,Tortanus,NA,F,2.3,13,13,0.49,Andrea Le,
JSPK1054,J07,JS,South,2015-06-14,0,250,230011,234844,129.8773389,NA,25.48842775,26.52385685,250,0.01,02-Jan,Arthropoda,Hexanauplia,Calanoida,Tortanidae,Tortanus,NA,Calanoid copepod,Tortanus,Tortanus,Tortanus,NA,M,<2,4,400,15.08,Andrea Le,
JSPK1054,J07,JS,South,2015-06-14,0,250,230011,234844,129.8773389,NA,25.48842775,26.52385685,250,0.01,02-Jan,Arthropoda,Hexanauplia,Calanoida,Tortanidae,Tortanus,NA,Calanoid copepod,Tortanus,Tortanus,Tortanus,<C5,NA,<2,3,300,11.31,Andrea Le,
JSPK1112,J07,JS,South,2016-06-03,0,250,629297,633090,101.9293909,0:02:02,20.00364297,21.70554094,250,0.05,02-Jan,Arthropoda,Maxillopoda,Calanoida,Acartiidae,Acartia,NA,Calanoid copepod,Acartia,Acartia,Acartia,NA,NA,<2,18,360,16.59,Andrea Le,
JSPK1112,J07,JS,South,2016-06-03,0,250,629297,633090,101.9293909,0:02:02,20.00364297,21.70554094,2000,1,>10,Cnidaria,Hydrozoa,Leptothecata,Aequoreidae,Aequorea,victoria,Other,Aequorea,Aequorea,Aequorea victoria,NA,NA,31,2,2,0.09,Andrea Le,
JSPK1112,J07,JS,South,2016-06-03,0,250,629297,633090,101.9293909,0:02:02,20.00364297,21.70554094,250,0.05,<1,Arthropoda,Maxillopoda,NA,NA,NA,NA,Barnacle,Barnacle,Barnacle,Barnacle Nauplius,nauplius,NA,<2,15,300,13.82,Andrea Le,
JSPK1112,J07,JS,South,2016-06-03,0,250,629297,633090,101.9293909,0:02:02,20.00364297,21.70554094,250,0.05,<1,Mollusca,Bivalvia,NA,NA,NA,NA,Other,Bivalvia,Bivalvia,Bivalve veliger,veliger,NA,<2,2,40,1.84,Andrea Le,
JSPK1112,J07,JS,South,2016-06-03,0,250,629297,633090,101.9293909,0:02:02,20.00364297,21.70554094,1000,1,05-Feb,Arthropoda,Maxillopoda,Calanoida,Calanidae,Calanus,marshallae,Calanoid copepod,Calanus,Calanus,Calanus marshallae,NA,NA,3.6,3,3,0.14,Andrea Le,
JSPK1112,J07,JS,South,2016-06-03,0,250,629297,633090,101.9293909,0:02:02,20.00364297,21.70554094,1000,1,05-Feb,Arthropoda,Maxillopoda,Calanoida,Calanidae,Calanus,pacificus,Calanoid copepod,Calanus,Calanus,Calanus pacificus,NA,NA,2.9,7,7,0.32,Andrea Le,
JSPK1112,J07,JS,South,2016-06-03,0,250,629297,633090,101.9293909,0:02:02,20.00364297,21.70554094,250,0.05,05-Feb,Arthropoda,Maxillopoda,Calanoida,Calanidae,Calanus,pacificus,Calanoid copepod,Calanus,Calanus,Calanus pacificus,NA,NA,2.7,1,20,0.92,Andrea Le,
JSPK1112,J07,JS,South,2016-06-03,0,250,629297,633090,101.9293909,0:02:02,20.00364297,21.70554094,250,0.05,02-Jan,Arthropoda,Maxillipoda,Calanoida,Centropagidae,Centropages,abdominalis,Calanoid copepod,Centropages,Centropages,Centropages abdominalis,NA,M,<2,2,40,1.84,Andrea Le,
JSPK1112,J07,JS,South,2016-06-03,0,250,629297,633090,101.9293909,0:02:02,20.00364297,21.70554094,250,0.05,02-Jan,Arthropoda,Maxillipoda,Calanoida,Centropagidae,Centropages,abdominalis,Calanoid copepod,Centropages,Centropages,Centropages abdominalis,NA,F,<2,6,120,5.53,Andrea Le,
JSPK1112,J07,JS,South,2016-06-03,0,250,629297,633090,101.9293909,0:02:02,20.00364297,21.70554094,250,0.05,02-Jan,Arthropoda,Maxillipoda,Calanoida,Centropagidae,Centropages,abdominalis,Calanoid copepod,Centropages,Centropages,Centropages abdominalis,NA,NA,<2,5,100,4.61,Andrea Le,
JSPK1112,J07,JS,South,2016-06-03,0,250,629297,633090,101.9293909,0:02:02,20.00364297,21.70554094,250,0.05,<1,Arthropoda,Maxillopoda,NA,NA,NA,NA,Other,Copepod (<CV),Copepod nauplius,Copepod nauplius,nauplius,NA,<2,7,140,6.45,Andrea Le,
JSPK1112,J07,JS,South,2016-06-03,0,250,629297,633090,101.9293909,0:02:02,20.00364297,21.70554094,250,0.05,02-Jan,Arthropoda,Maxillipoda,Calanoida,NA,NA,NA,Calanoid copepod,Copepod (<CV),Copepodite,Copepodite,C2,NA,<2,9,180,8.29,Andrea Le,
JSPK1112,J07,JS,South,2016-06-03,0,250,629297,633090,101.9293909,0:02:02,20.00364297,21.70554094,250,0.05,<1,Arthropoda,Maxillipoda,Calanoida,NA,NA,NA,Calanoid copepod,Copepod (<CV),Copepodite,Copepodite,C1,NA,<2,2,40,1.84,Andrea Le,
JSPK1112,J07,JS,South,2016-06-03,0,250,629297,633090,101.9293909,0:02:02,20.00364297,21.70554094,250,0.05,<1,Arthropoda,Maxillopoda,Poecilostomatoida,Corycaeidae,Corycaeus,NA,Other,Corycaeus,Corycaeus,Corycaeus,NA,NA,<2,68,1360,62.66,Andrea Le,
JSPK1112,J07,JS,South,2016-06-03,0,250,629297,633090,101.9293909,0:02:02,20.00364297,21.70554094,250,0.05,<1,Arthropoda,Maxillopoda,NA,NA,NA,NA,Barnacle,Barnacle,Barnacle,Cyprid,NA,NA,<2,5,100,4.61,Andrea Le,
JSPK1112,J07,JS,South,2016-06-03,0,250,629297,633090,101.9293909,0:02:02,20.00364297,21.70554094,1000,1,02-Jan,Chordata,Actinopterygii,NA,NA,NA,NA,Other,Actinopterygii,Actinopterygii,Egg (fish),NA,NA,<2,2,2,0.09,Andrea Le,
JSPK1112,J07,JS,South,2016-06-03,0,250,629297,633090,101.9293909,0:02:02,20.00364297,21.70554094,250,0.05,<1,NA,NA,NA,NA,NA,NA,Other,Other,Other,Egg (oily),NA,NA,<2,6,120,5.53,Andrea Le,
JSPK1112,J07,JS,South,2016-06-03,0,250,629297,633090,101.9293909,0:02:02,20.00364297,21.70554094,250,0.05,02-Jan,Arthropoda,Hexanauplia,Calanoida,Pontellidae,Epilabidocera,longipedata,Calanoid copepod,Epilabidocera,Epilabidocera,Epilabidocera longipedata,<C5,NA,<2,2,40,1.84,Andrea Le,
JSPK1112,J07,JS,South,2016-06-03,0,250,629297,633090,101.9293909,0:02:02,20.00364297,21.70554094,250,0.05,02-Jan,Arthropoda,Hexanauplia,Calanoida,Pontellidae,Epilabidocera,longipedata,Calanoid copepod,Epilabidocera,Epilabidocera,Epilabidocera longipedata,C5,NA,<2,1,20,0.92,Andrea Le,
JSPK1112,J07,JS,South,2016-06-03,0,250,629297,633090,101.9293909,0:02:02,20.00364297,21.70554094,1000,1,10-May,Arthropoda,Hexanauplia,Calanoida,Eucalanidae,Eucalanus,NA,Calanoid copepod,Eucalanus,Eucalanus,Eucalanus,NA,NA,6,1,1,0.05,Andrea Le,
JSPK1112,J07,JS,South,2016-06-03,0,250,629297,633090,101.9293909,0:02:02,20.00364297,21.70554094,250,0.05,02-Jan,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,NA,NA,Euphausiid,Euphausiidae,Euphausiidae,Euphausiid calytopsis,NA,NA,<2,16,320,14.74,Andrea Le,
JSPK1112,J07,JS,South,2016-06-03,0,250,629297,633090,101.9293909,0:02:02,20.00364297,21.70554094,250,0.05,<1,Arthropoda,Branchiopoda,Diplostraca,Podonidae,Evadne,NA,Cladoceran,Evadne,Evadne,Evadne,NA,NA,<2,120,2400,110.57,Andrea Le,
JSPK1112,J07,JS,South,2016-06-03,0,250,629297,633090,101.9293909,0:02:02,20.00364297,21.70554094,250,0.05,<1,Mollusca,Gastropoda,NA,NA,NA,NA,Other,Gastropoda,Gastropoda,Gastropod egg,NA,NA,<2,47,940,43.31,Andrea Le,
JSPK1112,J07,JS,South,2016-06-03,0,250,629297,633090,101.9293909,0:02:02,20.00364297,21.70554094,250,0.05,<1,Mollusca,Gastropoda,NA,NA,NA,NA,Other,Gastropoda,Gastropoda,Gastropod veliger,veliger,NA,<2,1,20,0.92,Andrea Le,
JSPK1112,J07,JS,South,2016-06-03,0,250,629297,633090,101.9293909,0:02:02,20.00364297,21.70554094,1000,1,05-Feb,Cnidaria,Hydrozoa,Anthoathecata,Pandeidae,Halitholus,NA,Other,Halitholus,Halitholus,Halitholus,NA,NA,3.3,3,3,0.14,Andrea Le,
JSPK1112,J07,JS,South,2016-06-03,0,250,629297,633090,101.9293909,0:02:02,20.00364297,21.70554094,250,0.05,02-Jan,Arthropoda,Hexanauplia,Harpacticoida,NA,NA,NA,Other,Harpacticoida,Harpacticoida,Harpacticoid spp,NA,NA,<2,2,40,1.84,Andrea Le,
JSPK1112,J07,JS,South,2016-06-03,0,250,629297,633090,101.9293909,0:02:02,20.00364297,21.70554094,250,0.05,02-Jan,Cnidaria,Hydrozoa,NA,NA,NA,NA,Other,Hydrozoa,Hydrozoa,Hydromedusae,NA,NA,<2,2,40,1.84,Andrea Le,
JSPK1112,J07,JS,South,2016-06-03,0,250,629297,633090,101.9293909,0:02:02,20.00364297,21.70554094,1000,1,10-May,Arthropoda,Malacostraca,Amphipoda,Hyperiidae,Themisto,NA,Amphipod ,Themisto,Themisto,Hyperiid (themisto),NA,NA,8.4,2,2,0.09,Andrea Le,
JSPK1112,J07,JS,South,2016-06-03,0,250,629297,633090,101.9293909,0:02:02,20.00364297,21.70554094,2000,1,10-May,Cnidaria,Hydrozoa,Anthoathecata,Pandeidae,Leukartiara,NA,Other,Leukartiara,Leukartiara,Leuckartiara,NA,NA,8,4,4,0.18,Andrea Le,
JSPK1112,J07,JS,South,2016-06-03,0,250,629297,633090,101.9293909,0:02:02,20.00364297,21.70554094,250,0.05,05-Feb,Arthropoda,Malacostraca,Decapoda,Majidae,NA,NA,Decapod ,Majidae,Majidae,Majidae,NA,NA,2.5,1,20,0.92,Andrea Le,
JSPK1112,J07,JS,South,2016-06-03,0,250,629297,633090,101.9293909,0:02:02,20.00364297,21.70554094,250,0.05,02-Jan,Arthropoda,Hexanauplia,Harpacticoida,Ectinosomatidae,Microsetella,NA,Other,Microsetella,Harpacticoida,Microsetella,NA,NA,<2,3,60,2.76,Andrea Le,
JSPK1112,J07,JS,South,2016-06-03,0,250,629297,633090,101.9293909,0:02:02,20.00364297,21.70554094,250,0.05,05-Feb,Chordata,Appendicularia,Copelata,Oikopleuridae,Oikopleura,NA,Larvacean,Larvacean,Larvacean,Oikopleura,NA,NA,<2,2,40,1.84,Andrea Le,
JSPK1112,J07,JS,South,2016-06-03,0,250,629297,633090,101.9293909,0:02:02,20.00364297,21.70554094,250,0.05,<1,Arthropoda,Maxillopoda,Cyclopoida,Oithonidae,Oithona,NA,Other,Oithona,Oithona,Oithona,NA,NA,<2,2,40,1.84,Andrea Le,
JSPK1112,J07,JS,South,2016-06-03,0,250,629297,633090,101.9293909,0:02:02,20.00364297,21.70554094,1000,1,05-Feb,Arthropoda,Malacostraca,Decapoda,Pandalidae,NA,NA,Decapod ,Pandalidae,Pandalidae,Pandalidae,NA,NA,3.7,1,1,0.05,Andrea Le,
JSPK1112,J07,JS,South,2016-06-03,0,250,629297,633090,101.9293909,0:02:02,20.00364297,21.70554094,250,0.05,05-Feb,Arthropoda,Malacostraca,Decapoda,Pandalidae,NA,NA,Decapod ,Pandalidae,Pandalidae,Pandalidae,NA,NA,2.7,2,40,1.84,Andrea Le,
JSPK1112,J07,JS,South,2016-06-03,0,250,629297,633090,101.9293909,0:02:02,20.00364297,21.70554094,250,0.05,<1,Arthropoda,Maxillipoda,Calanoida,Paracalanidae,Paracalanus,NA,Calanoid copepod,Paracalanus,Paracalanus,Paracalanus,NA,NA,<2,15,300,13.82,Andrea Le,
JSPK1112,J07,JS,South,2016-06-03,0,250,629297,633090,101.9293909,0:02:02,20.00364297,21.70554094,1000,1,05-Feb,Arthropoda,Malacostraca,Decapoda,Pinnotheridae,NA,NA,Decapod ,Pinnotheridae,Pinnotheridae,Pinnotheridae,NA,NA,3.3,1,1,0.05,Andrea Le,
JSPK1112,J07,JS,South,2016-06-03,0,250,629297,633090,101.9293909,0:02:02,20.00364297,21.70554094,250,0.05,<1,Arthropoda,Branchiopoda,Diplostraca,Podonidae,Podon,NA,Cladoceran,Podon,Podon,Podon,NA,NA,<2,1,20,0.92,Andrea Le,
JSPK1112,J07,JS,South,2016-06-03,0,250,629297,633090,101.9293909,0:02:02,20.00364297,21.70554094,1000,1,02-Jan,Arthropoda,Maxillipoda,Calanoida,Clausocalanidae,Pseudocalanus,NA,Calanoid copepod,Pseudocalanus,Pseudocalanus,Pseudocalanus,NA,NA,<2,1,1,0.05,Andrea Le,
JSPK1112,J07,JS,South,2016-06-03,0,250,629297,633090,101.9293909,0:02:02,20.00364297,21.70554094,250,0.05,02-Jan,Arthropoda,Maxillipoda,Calanoida,Clausocalanidae,Pseudocalanus,NA,Calanoid copepod,Pseudocalanus,Pseudocalanus,Pseudocalanus,NA,NA,<2,77,1540,70.95,Andrea Le,
JSPK1112,J07,JS,South,2016-06-03,0,250,629297,633090,101.9293909,0:02:02,20.00364297,21.70554094,250,0.05,02-Jan,Arthropoda,Hexanauplia,Calanoida,Tortanidae,Tortanus,NA,Calanoid copepod,Tortanus,Tortanus,Tortanus,NA,M,<2,3,60,2.76,Andrea Le,
JSPK1135,J07,JS,South,2016-06-20,0,250,688676,691262,69.49364749,0:01:59,13.63812832,15.03887957,250,0.03,02-Jan,Arthropoda,Maxillopoda,Calanoida,Acartiidae,Acartia,NA,Calanoid copepod,Acartia,Acartia,Acartia,NA,NA,<2,90,3000,199.48,Andrea Le,
JSPK1135,J07,JS,South,2016-06-20,0,250,688676,691262,69.49364749,0:01:59,13.63812832,15.03887957,2000,1,>10,Cnidaria,Hydrozoa,Leptothecata,Aequoreidae,Aequorea,victoria,Other,Aequorea,Aequorea,Aequorea victoria,NA,NA,60,1,1,0.07,Andrea Le,
JSPK1135,J07,JS,South,2016-06-20,0,250,688676,691262,69.49364749,0:01:59,13.63812832,15.03887957,1000,1,05-Feb,Arthropoda,Hexanauplia,Calanoida,Aetideidae,Aetidius,diveregns,Calanoid copepod,Aetidius,Aetidius,Aetidius divergens,NA,NA,2,1,1,0.07,Andrea Le,
JSPK1135,J07,JS,South,2016-06-20,0,250,688676,691262,69.49364749,0:01:59,13.63812832,15.03887957,250,0.03,<1,Arthropoda,Maxillopoda,NA,NA,NA,NA,Barnacle,Barnacle,Barnacle,Barnacle Nauplius,nauplius,NA,<2,7,233,15.52,Andrea Le,
JSPK1135,J07,JS,South,2016-06-20,0,250,688676,691262,69.49364749,0:01:59,13.63812832,15.03887957,250,0.03,<1,Bryozoa,NA,NA,NA,NA,NA,Other,Bryozoa,Bryozoa,Bryozoa,NA,NA,<2,8,267,17.73,Andrea Le,
JSPK1135,J07,JS,South,2016-06-20,0,250,688676,691262,69.49364749,0:01:59,13.63812832,15.03887957,1000,1,05-Feb,Arthropoda,Maxillopoda,Calanoida,Calanidae,Calanus,marshallae,Calanoid copepod,Calanus,Calanus,Calanus marshallae,NA,NA,3.6,119,119,7.91,Andrea Le,
JSPK1135,J07,JS,South,2016-06-20,0,250,688676,691262,69.49364749,0:01:59,13.63812832,15.03887957,1000,1,05-Feb,Arthropoda,Maxillopoda,Calanoida,Calanidae,Calanus,pacificus,Calanoid copepod,Calanus,Calanus,Calanus pacificus,NA,NA,2.9,44,44,2.93,Andrea Le,
JSPK1135,J07,JS,South,2016-06-20,0,250,688676,691262,69.49364749,0:01:59,13.63812832,15.03887957,250,0.03,05-Feb,Arthropoda,Maxillopoda,Calanoida,Calanidae,Calanus,pacificus,Calanoid copepod,Calanus,Calanus,Calanus pacificus,NA,NA,2.4,1,33,2.22,Andrea Le,
JSPK1135,J07,JS,South,2016-06-20,0,250,688676,691262,69.49364749,0:01:59,13.63812832,15.03887957,250,0.03,02-Jan,Arthropoda,Maxillipoda,Calanoida,Centropagidae,Centropages,abdominalis,Calanoid copepod,Centropages,Centropages,Centropages abdominalis,C5,NA,<2,1,33,2.22,Andrea Le,
JSPK1135,J07,JS,South,2016-06-20,0,250,688676,691262,69.49364749,0:01:59,13.63812832,15.03887957,250,0.03,02-Jan,Arthropoda,Maxillipoda,Calanoida,Centropagidae,Centropages,abdominalis,Calanoid copepod,Centropages,Centropages,Centropages abdominalis,NA,F,<2,1,33,2.22,Andrea Le,
JSPK1135,J07,JS,South,2016-06-20,0,250,688676,691262,69.49364749,0:01:59,13.63812832,15.03887957,250,0.03,02-Jan,Arthropoda,Maxillipoda,Calanoida,Centropagidae,Centropages,abdominalis,Calanoid copepod,Centropages,Centropages,Centropages abdominalis,NA,M,<2,1,33,2.22,Andrea Le,
JSPK1135,J07,JS,South,2016-06-20,0,250,688676,691262,69.49364749,0:01:59,13.63812832,15.03887957,1000,1,10-May,Chaetognatha,NA,NA,NA,NA,NA,Other,Chaetognatha,Chaetognatha,Chaetognath,NA,NA,9.5,6,6,0.4,Andrea Le,
JSPK1135,J07,JS,South,2016-06-20,0,250,688676,691262,69.49364749,0:01:59,13.63812832,15.03887957,250,0.03,05-Feb,Chaetognatha,NA,NA,NA,NA,NA,Other,Chaetognatha,Chaetognatha,Chaetognath,NA,NA,3,1,33,2.22,Andrea Le,
JSPK1135,J07,JS,South,2016-06-20,0,250,688676,691262,69.49364749,0:01:59,13.63812832,15.03887957,250,0.03,<1,Arthropoda,Maxillopoda,NA,NA,NA,NA,Other,Copepod (<CV),Copepod nauplius,Copepod nauplius,nauplius,NA,<2,9,300,19.95,Andrea Le,
JSPK1135,J07,JS,South,2016-06-20,0,250,688676,691262,69.49364749,0:01:59,13.63812832,15.03887957,250,0.03,<1,Arthropoda,Maxillipoda,Calanoida,NA,NA,NA,Calanoid copepod,Copepod (<CV),Copepodite,Copepodite,C2,NA,<2,2,67,4.43,Andrea Le,
