project,action,seine_id,date,work_area,survey,site_id,UFN,semsp_id,jsp_survey_id,species,package_id,fish_time_out,fish_time_dewar,fork_length_field,height_field,weight_field,date_processed,cwt,adipose,weight,standard_length,fork_length,photo_number,comments_protocol,comments_fish_health_lab,dissector,dissection_protocol,analysis_planned,dissection_status,lice_collection_protocol,lice_id_protocol,analyzing_lab,quality_level,comments,quality_log,sampling_week
JSP,NA,DE107N1,2015-05-16,QUADRA,DI_C,D07,U1396,2015-05-16-D07-PI-1,DE107,PI,NA,NA,NA,NA,NA,NA,2016-02-23,NONE,PRESENT,7.4,NA,86,NA,Top 2 scales (PI scale book 31-4) are from 1397,Hemorhagged anal fin,KI,FULL WORK-UP 1,SEMSP,DISSECTED,LAB_FINE_2015,NA,HAKAI,Technician,NA,NA,19-May
JSP,NA,DE115N2,2015-05-21,QUADRA,DI_C,D07,U5846,2015-05-21-D07-PI-8,DE115,PI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,NOT DISSECTED,NA,NA,HAKAI,Technician,NA,NA,19-May
JSP,NA,DE115N2,2015-05-21,QUADRA,DI_C,D07,U5845,2015-05-21-D07-CU-5,DE115,CU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,NOT DISSECTED,NA,NA,HAKAI,Technician,NA,NA,19-May
JSP,NA,DE115N2,2015-05-21,QUADRA,DI_C,D07,U5844,2015-05-21-D07-CU-2,DE115,CU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,NOT DISSECTED,NA,NA,HAKAI,Technician,NA,NA,19-May
JSP,NA,DE115N2,2015-05-21,QUADRA,DI_C,D07,U4173,2015-05-21-D07-CU-10,DE115,CU,NA,NA,NA,NA,NA,NA,2017-11-21,NONE,PRESENT,5.7,86,91,NA,NA,NA,KDB,FULL WORK-UP 2,SEMSP,DISSECTED,LAB_MOTILES_CRYO,LAB_MOTILES,HAKAI,Raw,NA,1: Fork length generated with species-specific linear regression model (2019-02-01 JG),19-May
JSP,NA,DE115N2,2015-05-21,QUADRA,DI_C,D07,U3007,2015-05-21-D07-CU-9,DE115,CU,NA,NA,NA,NA,NA,NA,2016-12-03,NONE,PRESENT,9.7,92,97,NA,NA,NA,JG,FULL WORK-UP 1,SEMSP,DISSECTED,NA,LAB_MOTILES,HAKAI,Raw,NA,1: Fork length generated with species-specific linear regression model (2019-02-01 JG),19-May
JSP,NA,DE115N2,2015-05-21,QUADRA,DI_C,D07,U4980,2015-05-21-D07-CU-6,DE115,CU,NA,NA,NA,NA,NA,NA,2017-11-21,NONE,PRESENT,7.9,85,90,NA,NA,NA,KDB,FULL WORK-UP 2,SEMSP,DISSECTED,LAB_MOTILES_CRYO,LAB_MOTILES,HAKAI,Raw,NA,1: Fork length generated with species-specific linear regression model (2019-02-01 JG),19-May
JSP,NA,DE115N2,2015-05-21,QUADRA,DI_C,D07,U2627,2015-05-21-D07-CU-4,DE115,CU,NA,NA,NA,NA,NA,NA,2016-11-28,NONE,PRESENT,18.4,117,122,NA,NA,NA,MF,FULL WORK-UP 1,SEMSP,DISSECTED,NA,LAB_MOTILES,HAKAI,Raw,NA,1: Fork length generated with species-specific linear regression model (2019-02-01 JG),19-May
JSP,NA,DE115N2,2015-05-21,QUADRA,DI_C,D07,U2528,2015-05-21-D07-PI-7,DE115,PI,NA,NA,NA,NA,NA,NA,2016-12-15,NONE,PRESENT,7.1,84,88,NA,NA,NA,BJ,FULL WORK-UP 1,SEMSP,DISSECTED,NA,LAB_MOTILES,HAKAI,Raw,NA,1: Fork length generated with species-specific linear regression model (2019-02-01 JG),19-May
JSP,NA,DE115N2,2015-05-21,QUADRA,DI_C,D07,U4979,2015-05-21-D07-CU-8,DE115,CU,NA,NA,NA,NA,NA,NA,2017-11-21,NONE,PRESENT,13.6,101,111,NA,NA,NA,KDB,FULL WORK-UP 2,SEMSP,DISSECTED,LAB_MOTILES_CRYO,LAB_MOTILES,HAKAI,Technician,NA,NA,19-May
JSP,NA,DE115N2,2015-05-21,QUADRA,DI_C,D07,U2831,2015-05-21-D07-CU-7,DE115,CU,NA,NA,NA,NA,NA,NA,2016-12-02,NONE,PRESENT,5.1,79,84,NA,NA,NA,CVJ,FULL WORK-UP 1,SEMSP,DISSECTED,NA,LAB_MOTILES,HAKAI,Technician,NA,NA,19-May
JSP,NA,DE115N2,2015-05-21,QUADRA,DI_C,D07,U2634,2015-05-21-D07-CU-3,DE115,CU,NA,NA,NA,NA,NA,NA,2016-12-01,NONE,PRESENT,7.5,85,90,NA,NA,NA,MF,FULL WORK-UP 1,SEMSP,DISSECTED,NA,LAB_MOTILES,HAKAI,Technician,NA,NA,19-May
JSP,NA,DE115N2,2015-05-21,QUADRA,DI_C,D07,U2626,2015-05-21-D07-CU-1,DE115,CU,NA,NA,NA,NA,NA,NA,2016-11-28,NONE,PRESENT,9.6,91,96,NA,NA,NA,MF,FULL WORK-UP 1,SEMSP,DISSECTED,NA,LAB_MOTILES,HAKAI,Technician,NA,NA,19-May
JSP,NA,DE115N2,2015-05-21,QUADRA,DI_C,D07,U1395,2015-05-21-D07-PI-6,DE115,PI,NA,NA,NA,NA,NA,NA,2016-02-22,NONE,PRESENT,4.7,NA,NA,NA,Approx length 70,Thin muscle tissues; hemorhagged mouth,KI,FULL WORK-UP 1,SEMSP,DISSECTED,LAB_FINE_2015,LPORTNER_FINE,HAKAI,Technician,NA,NA,19-May
JSP,NA,DE115N2,2015-05-21,QUADRA,DI_C,D07,U1190,2015-05-21-D07-PI-5,DE115,PI,NA,NA,NA,NA,NA,NA,2016-02-22,NONE,PRESENT,5.7,NA,83,NA,Length approx - no caudal,NA,DS,FULL WORK-UP 1,SEMSP,DISSECTED,LAB_FINE_2015,LPORTNER_FINE,HAKAI,Technician,NA,NA,19-May
JSP,NA,DE115N2,2015-05-21,QUADRA,DI_C,D07,U2859,2015-05-21-D07-PI-4,DE115,PI,NA,NA,NA,NA,NA,NA,2016-12-15,NONE,PRESENT,6.8,83,87,NA,NA,Pale gills and heart.,CVJ,FULL WORK-UP 1,SEMSP,DISSECTED,NA,LAB_MOTILES,HAKAI,Technician,NA,NA,19-May
JSP,NA,DE115N2,2015-05-21,QUADRA,DI_C,D07,U1394,2015-05-21-D07-PI-3,DE115,PI,NA,NA,NA,NA,NA,NA,2016-02-22,NONE,PRESENT,5.1,NA,80,NA,No scales taken.,Fish hemorhagging all over,KI,FULL WORK-UP 1,SEMSP,DISSECTED,LAB_FINE_2015,LPORTNER_FINE,HAKAI,Technician,NA,NA,19-May
JSP,NA,DE115N2,2015-05-21,QUADRA,DI_C,D07,U1386,2015-05-21-D07-PI-2,DE115,PI,NA,NA,NA,NA,NA,NA,2016-02-22,NONE,PRESENT,7,NA,88,NA,No scales taken.,NA,CK,FULL WORK-UP 1,SEMSP,DISSECTED,LAB_FINE_2015,LPORTNER_FINE,HAKAI,Technician,NA,NA,19-May
JSP,NA,DE115N2,2015-05-21,QUADRA,DI_C,D07,U1392,2015-05-21-D07-PI-1,DE115,PI,NA,NA,NA,NA,NA,NA,2016-02-22,NONE,PRESENT,6.5,NA,90,NA,NA,Thin muscle tissue,KI,FULL WORK-UP 1,SEMSP,DISSECTED,LAB_FINE_2015,LPORTNER_FINE,HAKAI,Technician,NA,NA,19-May
JSP,NA,DE163N1,2015-06-05,QUADRA,DI_C,D07,U7381,2015-06-05-D07-CU-8,DE163,CU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,NOT DISSECTED,NA,NA,HAKAI,Technician,NA,NA,02-Jun
JSP,NA,DE163N1,2015-06-05,QUADRA,DI_C,D07,U2633,2015-06-05-D07-CU-9,DE163,CU,NA,NA,NA,NA,NA,NA,2016-12-01,NONE,PRESENT,6.6,84,89,NA,NA,NA,MF,FULL WORK-UP 1,SEMSP,DISSECTED,NA,LAB_MOTILES,HAKAI,Raw,NA,1: Fork length generated with species-specific linear regression model (2019-02-01 JG),02-Jun
JSP,NA,DE163N1,2015-06-05,QUADRA,DI_C,D07,U4965,2015-06-05-D07-CU-7,DE163,CU,NA,NA,NA,NA,NA,NA,2017-11-20,NONE,PRESENT,7.9,85,90,NA,NA,small spleen,MF,FULL WORK-UP 2,SEMSP,DISSECTED,LAB_MOTILES_CRYO,LAB_MOTILES,HAKAI,Raw,NA,1: Fork length generated with species-specific linear regression model (2019-02-01 JG),02-Jun
JSP,NA,DE163N1,2015-06-05,QUADRA,DI_C,D07,U4170,2015-06-05-D07-CU-3,DE163,CU,NA,NA,NA,NA,NA,NA,2017-11-20,NONE,PRESENT,7.2,84,89,NA,NA,NA,CVJ,FULL WORK-UP 2,SEMSP,DISSECTED,LAB_MOTILES_CRYO,LAB_MOTILES,HAKAI,Raw,NA,1: Fork length generated with species-specific linear regression model (2019-02-01 JG),02-Jun
JSP,NA,DE163N1,2015-06-05,QUADRA,DI_C,D07,U4155,2015-06-05-D07-CU-2,DE163,CU,NA,NA,NA,NA,NA,NA,2017-11-20,NONE,PRESENT,8.5,85,90,NA,NA,large spleen,KDB,FULL WORK-UP 2,SEMSP,DISSECTED,LAB_MOTILES_CRYO,LAB_MOTILES,HAKAI,Raw,NA,1: Fork length generated with species-specific linear regression model (2019-02-01 JG),02-Jun
JSP,NA,DE163N1,2015-06-05,QUADRA,DI_C,D07,U2629,2015-06-05-D07-CU-1,DE163,CU,NA,NA,NA,NA,NA,NA,2016-11-30,NONE,PRESENT,8.2,88,93,NA,NA,NA,MF,FULL WORK-UP 1,SEMSP,DISSECTED,NA,LAB_MOTILES,HAKAI,Raw,NA,1: Fork length generated with species-specific linear regression model (2019-02-01 JG),02-Jun
JSP,NA,DE163N1,2015-06-05,QUADRA,DI_C,D07,U2625,2015-06-05-D07-CU-10,DE163,CU,NA,NA,NA,NA,NA,NA,2016-11-28,NONE,PRESENT,9.6,89,94,NA,NA,NA,MF,FULL WORK-UP 1,SEMSP,DISSECTED,NA,LAB_MOTILES,HAKAI,Technician,NA,NA,02-Jun
JSP,NA,DE163N1,2015-06-05,QUADRA,DI_C,D07,U2824,2015-06-05-D07-CU-6,DE163,CU,NA,NA,NA,NA,NA,NA,2016-11-28,NONE,PRESENT,8,89,94,NA,NA,NA,CVJ,FULL WORK-UP 1,SEMSP,DISSECTED,NA,LAB_MOTILES,HAKAI,Technician,NA,NA,02-Jun
JSP,NA,DE163N1,2015-06-05,QUADRA,DI_C,D07,U2628,2015-06-05-D07-CU-5,DE163,CU,NA,NA,NA,NA,NA,NA,2016-11-30,NONE,PRESENT,8,83,86,NA,NA,NA,MF,FULL WORK-UP 1,SEMSP,DISSECTED,NA,LAB_MOTILES,HAKAI,Technician,NA,NA,02-Jun
JSP,NA,DE163N1,2015-06-05,QUADRA,DI_C,D07,U4960,2015-06-05-D07-CU-4,DE163,CU,NA,NA,NA,NA,NA,NA,2017-11-20,NONE,PRESENT,11.4,99,104,NA,NA,NA,MF,FULL WORK-UP 2,SEMSP,DISSECTED,LAB_MOTILES_CRYO,LAB_MOTILES,HAKAI,Technician,NA,NA,02-Jun
JSP,NA,DE169N2,2015-06-07,QUADRA,DI_C,D07,U2863,2015-06-07-D07-PI-2,DE169,PI,NA,NA,NA,NA,NA,NA,2016-12-15,NONE,PRESENT,8.9,94,98,NA,Only one broken otolith found.,NA,CVJ,FULL WORK-UP 1,SEMSP,DISSECTED,NA,LAB_MOTILES,HAKAI,Raw,NA,1: Fork length generated with species-specific linear regression model (2019-02-01 JG),09-Jun
JSP,NA,DE169N2,2015-06-07,QUADRA,DI_C,D07,U2861,2015-06-07-D07-PI-1,DE169,PI,NA,NA,NA,NA,NA,NA,2016-12-15,NONE,PRESENT,9,93,97,NA,NA,Pale heart.,CVJ,FULL WORK-UP 1,SEMSP,DISSECTED,NA,LAB_MOTILES,HAKAI,Raw,NA,1: Fork length generated with species-specific linear regression model (2019-02-01 JG),09-Jun
JSP,NA,DE169N2,2015-06-07,QUADRA,DI_C,D07,U2513,2015-06-07-D07-PI-6,DE169,PI,NA,NA,NA,NA,NA,NA,2016-12-04,NONE,PRESENT,9.1,87,92,NA,NA,NA,BJ,FULL WORK-UP 1,SEMSP,DISSECTED,NA,LAB_MOTILES,HAKAI,Technician,NA,NA,09-Jun
JSP,NA,DE169N2,2015-06-07,QUADRA,DI_C,D07,U2862,2015-06-07-D07-PI-5,DE169,PI,NA,NA,NA,NA,NA,NA,2016-12-15,NONE,PRESENT,10.5,99,103,NA,NA,NA,CVJ,FULL WORK-UP 1,SEMSP,DISSECTED,NA,LAB_MOTILES,HAKAI,Technician,NA,NA,09-Jun
JSP,NA,DE169N2,2015-06-07,QUADRA,DI_C,D07,U2530,2015-06-07-D07-PI-4,DE169,PI,NA,NA,NA,NA,NA,NA,2016-12-15,NONE,PRESENT,9.7,93,98,NA,NA,NA,BJ,FULL WORK-UP 1,SEMSP,DISSECTED,NA,LAB_MOTILES,HAKAI,Technician,NA,NA,09-Jun
JSP,NA,DE169N2,2015-06-07,QUADRA,DI_C,D07,U2525,2015-06-07-D07-PI-3,DE169,PI,NA,NA,NA,NA,NA,NA,2016-12-15,NONE,PRESENT,10.2,95,100,NA,NA,NA,BJ,FULL WORK-UP 1,SEMSP,DISSECTED,NA,LAB_MOTILES,HAKAI,Technician,NA,NA,09-Jun
JSP,NA,DE173N1,2015-06-09,QUADRA,DI_C,D07,U5207,2015-06-09-D07-CU-6,DE173,CU,NA,NA,NA,NA,NA,NA,2018-10-02,NONE,PRESENT,11.7,103,108,NA,Did not take DNA sample,bleeding under gills,EJ,STREAMLINED_WORKUP_2018_WITH_STOMACHS,SEMSP,DISSECTED,NA,NA,HAKAI,Raw,NA,1: Fork length generated with species-specific linear regression model (2019-02-01 JG),09-Jun
JSP,NA,DE173N1,2015-06-09,QUADRA,DI_C,D07,U5206,2015-06-09-D07-CU-3,DE173,CU,NA,NA,NA,NA,NA,NA,2018-10-02,NONE,PRESENT,15.2,111,116,NA,Did not take DNA sample,bleeding under gills,EJ,STREAMLINED_WORKUP_2018_WITH_STOMACHS,SEMSP,DISSECTED,NA,NA,HAKAI,Raw,NA,1: Fork length generated with species-specific linear regression model (2019-02-01 JG),09-Jun
JSP,NA,DE173N1,2015-06-09,QUADRA,DI_C,D07,U2517,2015-06-09-D07-PI-1,DE173,PI,NA,NA,NA,NA,NA,NA,2016-12-04,NONE,PRESENT,10.6,96,100,NA,NA,NA,BJ,FULL WORK-UP 1,SEMSP,DISSECTED,NA,LAB_MOTILES,HAKAI,Raw,NA,1: Fork length generated with species-specific linear regression model (2019-02-01 JG),09-Jun
JSP,NA,DE173N1,2015-06-09,QUADRA,DI_C,D07,U5210,2015-06-09-D07-CU-7,DE173,CU,NA,NA,NA,NA,NA,NA,2018-10-02,NONE,PRESENT,13.5,99,104,NA,Did not take DNA sample,NA,EJ,STREAMLINED_WORKUP_2018_WITH_STOMACHS,SEMSP,DISSECTED,NA,NA,HAKAI,Technicianmr,NA,NA,09-Jun
JSP,NA,DE173N1,2015-06-09,QUADRA,DI_C,D07,U5209,2015-06-09-D07-CU-10,DE173,CU,NA,NA,NA,NA,NA,NA,2018-10-02,NONE,PRESENT,10.6,95,100,NA,Did not take DNA sample,NA,EJ,STREAMLINED_WORKUP_2018_WITH_STOMACHS,SEMSP,DISSECTED,NA,NA,HAKAI,Technicianmr,NA,NA,09-Jun
JSP,NA,DE173N1,2015-06-09,QUADRA,DI_C,D07,U5208,2015-06-09-D07-CU-1,DE173,CU,NA,NA,NA,NA,NA,NA,2018-10-02,NONE,PRESENT,19.9,123,127,NA,Did not take DNA sample,NA,EJ,STREAMLINED_WORKUP_2018_WITH_STOMACHS,SEMSP,DISSECTED,NA,NA,HAKAI,Technicianmr,NA,NA,09-Jun
JSP,NA,DE173N1,2015-06-09,QUADRA,DI_C,D07,U3022,2015-06-09-D07-CU-9,DE173,CU,NA,NA,NA,NA,NA,NA,2016-12-05,NONE,PRESENT,19.6,116,121,NA,NA,Pale liver,JG,FULL WORK-UP 1,SEMSP,DISSECTED,NA,LAB_MOTILES,HAKAI,Technician,NA,NA,09-Jun
JSP,NA,DE173N1,2015-06-09,QUADRA,DI_C,D07,U3024,2015-06-09-D07-CU-8,DE173,CU,NA,NA,NA,NA,NA,NA,2016-12-05,NONE,PRESENT,9.9,94,99,NA,NA,NA,JG,FULL WORK-UP 1,SEMSP,DISSECTED,NA,LAB_MOTILES,HAKAI,Technician,NA,NA,09-Jun
JSP,NA,DE173N1,2015-06-09,QUADRA,DI_C,D07,U3020,2015-06-09-D07-CU-5,DE173,CU,NA,NA,NA,NA,NA,NA,2016-12-04,NONE,PRESENT,13.9,106,112,NA,NA,NA,JG,FULL WORK-UP 1,SEMSP,DISSECTED,NA,LAB_MOTILES,HAKAI,Technician,NA,NA,09-Jun
JSP,NA,DE173N1,2015-06-09,QUADRA,DI_C,D07,U2931,2015-06-09-D07-CU-4,DE173,CU,NA,NA,NA,NA,NA,NA,2016-12-06,NONE,PRESENT,11.1,100,105,NA,NA,NA,BMM,FULL WORK-UP 1,SEMSP,DISSECTED,NA,LAB_MOTILES,HAKAI,Technician,NA,NA,09-Jun
JSP,NA,DE173N1,2015-06-09,QUADRA,DI_C,D07,U3025,2015-06-09-D07-CU-2,DE173,CU,NA,NA,NA,NA,NA,NA,2016-12-06,NONE,PRESENT,15.1,106,111,NA,NA,NA,JG,FULL WORK-UP 1,SEMSP,DISSECTED,NA,LAB_MOTILES,HAKAI,Technician,NA,NA,09-Jun
JSP,NA,DE173N1,2015-06-09,QUADRA,DI_C,D07,U2839,2015-06-09-D07-PI-2,DE173,PI,NA,NA,NA,NA,NA,NA,2016-12-04,NONE,PRESENT,10,90,95,NA,NA,NA,CVJ,FULL WORK-UP 1,SEMSP,DISSECTED,NA,LAB_MOTILES,HAKAI,Technician,NA,NA,09-Jun
JSP,NA,DE175N1,2015-06-11,QUADRA,DI_C,D07,U3227,2015-06-11-D07-PI-2,DE175,PI,NA,NA,NA,NA,NA,NA,2017-01-11,NONE,PRESENT,10.9,99,104,NA,NA,NA,CVJ,FULL WORK-UP 1,SEMSP,DISSECTED,NA,LAB_MOTILES,HAKAI,Raw,NA,1: Fork length generated with species-specific linear regression model (2019-02-01 JG),09-Jun
JSP,NA,DE175N1,2015-06-11,QUADRA,DI_C,D07,U3231,2015-06-11-D07-PI-3,DE175,PI,NA,NA,NA,NA,NA,NA,2017-01-12,NONE,PRESENT,13.8,104,109,NA,NA,NA,CVJ,FULL WORK-UP 1,SEMSP,DISSECTED,NA,LAB_MOTILES,HAKAI,Technician,NA,NA,09-Jun
JSP,NA,DE175N1,2015-06-11,QUADRA,DI_C,D07,U3226,2015-06-11-D07-PI-1,DE175,PI,NA,NA,NA,NA,NA,NA,2017-01-11,NONE,PRESENT,12.7,99,105,NA,NA,NA,CVJ,FULL WORK-UP 1,SEMSP,DISSECTED,NA,LAB_MOTILES,HAKAI,Technician,NA,NA,09-Jun
JSP,NA,DE182N1,2015-06-13,QUADRA,DI_C,D07,U2529,2015-06-13-D07-PI-3,DE182,PI,NA,NA,NA,NA,NA,NA,2016-12-15,NONE,PRESENT,11.1,99,104,NA,NA,NA,BJ,FULL WORK-UP 1,SEMSP,DISSECTED,NA,LAB_MOTILES,HAKAI,Raw,NA,1: Fork length generated with species-specific linear regression model (2019-02-01 JG),16-Jun
JSP,NA,DE182N1,2015-06-13,QUADRA,DI_C,D07,U4065,2015-06-13-D07-CU-6,DE182,CU,NA,NA,NA,NA,NA,NA,2017-11-15,NONE,PRESENT,16.6,119,124,NA,NA,Nemotode parrasite present on stomach,CVJ,FULL WORK-UP 2,SEMSP,DISSECTED,LAB_MOTILES_CRYO,LAB_MOTILES,HAKAI,Raw,NA,1: Fork length generated with species-specific linear regression model (2019-02-01 JG),16-Jun
JSP,NA,DE182N1,2015-06-13,QUADRA,DI_C,D07,U4096,2015-06-13-D07-CU-2,DE182,CU,NA,NA,NA,NA,NA,NA,2017-11-15,NONE,PRESENT,11.1,102,107,NA,NA,Hemorrhaging along all of abdomen from gills to vent,CVJ,FULL WORK-UP 2,SEMSP,DISSECTED,LAB_MOTILES_CRYO,LAB_MOTILES,HAKAI,Raw,NA,1: Fork length generated with species-specific linear regression model (2019-02-01 JG),16-Jun
JSP,NA,DE182N1,2015-06-13,QUADRA,DI_C,D07,U2928,2015-06-13-D07-CU-10,DE182,CU,NA,NA,NA,NA,NA,NA,2016-12-04,NONE,PRESENT,13.4,106,111,NA,NA,NA,BMM,FULL WORK-UP 1,SEMSP,DISSECTED,NA,LAB_MOTILES,HAKAI,Technician,NA,NA,16-Jun
JSP,NA,DE182N1,2015-06-13,QUADRA,DI_C,D07,U3017,2015-06-13-D07-CU-9,DE182,CU,NA,NA,NA,NA,NA,NA,2016-12-04,NONE,PRESENT,14.4,109,114,NA,NA,NA,JG,FULL WORK-UP 1,SEMSP,DISSECTED,NA,LAB_MOTILES,HAKAI,Technician,NA,NA,16-Jun
JSP,NA,DE182N1,2015-06-13,QUADRA,DI_C,D07,U4149,2015-06-13-D07-CU-8,DE182,CU,NA,NA,NA,NA,NA,NA,2017-11-15,NONE,PRESENT,13.2,109,115,NA,NA,anisakis in body cavity,KDB,FULL WORK-UP 2,SEMSP,DISSECTED,LAB_MOTILES_CRYO,LAB_MOTILES,HAKAI,Technician,NA,NA,16-Jun
JSP,NA,DE182N1,2015-06-13,QUADRA,DI_C,D07,U4098,2015-06-13-D07-CU-7,DE182,CU,NA,NA,NA,NA,NA,NA,2017-11-15,NONE,PRESENT,12.6,105,110,NA,NA,Hemorrhaging under gills and around vent,CVJ,FULL WORK-UP 2,SEMSP,DISSECTED,LAB_MOTILES_CRYO,LAB_MOTILES,HAKAI,Technician,NA,NA,16-Jun
JSP,NA,DE182N1,2015-06-13,QUADRA,DI_C,D07,U3021,2015-06-13-D07-CU-5,DE182,CU,NA,NA,NA,NA,NA,NA,2016-12-05,NONE,PRESENT,9.6,95,100,NA,NA,NA,JG,FULL WORK-UP 1,SEMSP,DISSECTED,NA,LAB_MOTILES,HAKAI,Technician,NA,NA,16-Jun
JSP,NA,DE182N1,2015-06-13,QUADRA,DI_C,D07,U3023,2015-06-13-D07-CU-4,DE182,CU,NA,NA,NA,NA,NA,NA,2016-12-05,NONE,PRESENT,10.6,95,100,NA,NA,NA,JG,FULL WORK-UP 1,SEMSP,DISSECTED,NA,LAB_MOTILES,HAKAI,Technician,NA,NA,16-Jun
JSP,NA,DE182N1,2015-06-13,QUADRA,DI_C,D07,U2927,2015-06-13-D07-CU-3,DE182,CU,NA,NA,NA,NA,NA,NA,2016-12-04,NONE,PRESENT,13.5,106,111,NA,NA,NA,BMM,FULL WORK-UP 1,SEMSP,DISSECTED,NA,LAB_MOTILES,HAKAI,Technician,NA,NA,16-Jun
JSP,NA,DE182N1,2015-06-13,QUADRA,DI_C,D07,U4097,2015-06-13-D07-CU-1,DE182,CU,NA,NA,NA,NA,NA,NA,2017-11-15,NONE,PRESENT,9.7,98,103,NA,NA,Hemorrhaging along all of abdomen from gills to vent,CVJ,FULL WORK-UP 2,SEMSP,DISSECTED,LAB_MOTILES_CRYO,LAB_MOTILES,HAKAI,Technician,NA,NA,16-Jun
JSP,NA,DE182N1,2015-06-13,QUADRA,DI_C,D07,U2860,2015-06-13-D07-PI-2,DE182,PI,NA,NA,NA,NA,NA,NA,2016-12-15,NONE,PRESENT,9.7,99,103,NA,NA,NA,CVJ,FULL WORK-UP 1,SEMSP,DISSECTED,NA,LAB_MOTILES,HAKAI,Technician,NA,NA,16-Jun
JSP,NA,DE182N1,2015-06-13,QUADRA,DI_C,D07,U2526,2015-06-13-D07-PI-1,DE182,PI,NA,NA,NA,NA,NA,NA,2016-12-15,NONE,PRESENT,12.3,101,106,NA,NA,NA,BJ,FULL WORK-UP 1,SEMSP,DISSECTED,NA,LAB_MOTILES,HAKAI,Technician,NA,NA,16-Jun
