ufn,fish_species,stom_proc_date,food_weight_raw,food_weight_corr,fullness_cat,fullness_mean,kingdom,phylum,subphylum,class,subclass,order,suborder,infraorder,family,genus,species,life_stage,taxa_detail_calc,sex,count,length_max,length_min,length_ave,digestion_state,prey_weight_raw,prey_weight_corr,size_class,subsample,comment,processor
U3329,Chum,2018-07-20,45.5,70.07,50-75%,62.5,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Calanoida,NA,NA,Metridinidae,Metridia,lucens,NA,Metridia_lucens,F,1,2.8,2.8,2.8,1,0.5,0.77,2 to 5,N,NA,VF
U3329,Chum,2018-07-20,45.5,70.07,50-75%,62.5,Chromista,Ochrophyta,Khakista,Bacillariophyceae,Coscinodiscophycidae,NA,NA,NA,NA,NA,NA,NA,Coscinodiscophycidae,NA,2,1.5,1,1.25,1,0.1,0.154,1 to 2,N,NA,VF
U3329,Chum,2018-07-20,45.5,70.07,50-75%,62.5,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Calanoida,NA,NA,Calanidae,Mesocalanus,tenuicornis,NA,Mesocalanus_tenuicornis,NA,5,2.4,2.3,2.35,1,2,3.08,2 to 5,N,NA,VF
U3329,Chum,2018-07-20,45.5,70.07,50-75%,62.5,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Calanoida,NA,NA,Metridinidae,Metridia,curticaudata,NA,Metridia_curticaudata,NA,1,2.5,2.5,2.5,1,0.4,0.616,2 to 5,N,NA,VF
U3329,Chum,2018-07-20,45.5,70.07,50-75%,62.5,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Calanoida,NA,NA,Clausocalanidae,Pseudocalanus,NA,NA,Pseudocalanus,NA,5,1.9,1.6,1.75,2,0.9,1.386,1 to 2,N,NA,VF
U3329,Chum,2018-07-20,45.5,70.07,50-75%,62.5,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Calanoida,NA,NA,NA,NA,NA,NA,Calanoida,NA,5,1.3,0.8,1.05,3,0.1,0.154,1 to 2,N,NA,VF
U3329,Chum,2018-07-20,45.5,70.07,50-75%,62.5,Animalia,Chordata,Tunicata,Appendicularia,NA,Copelata,NA,NA,Oikopleuridae,Oikopleura,NA,NA,Oikopleura,NA,402,2.3,2,2.15,2,43.1,66.374,2 to 5,N,NA,VF
U2979,Chum,2018-07-23,5.8,8.932,0-25%,12.5,Animalia,Arthropoda,Crustacea,Hexanauplia,Thecostraca,Sessilia,Balanomorpha,NA,NA,NA,NA,Molt,Balanomorpha_Molt,NA,1,3.5,3.5,3.5,2,0.3,0.462,2 to 5,N,NA,VF
U2979,Chum,2018-07-23,5.8,8.932,0-25%,12.5,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Calanoida,NA,NA,Calanidae,Calanus,marshallae,NA,Calanus_marshallae,NA,3,3.6,3.5,3.55,1,2.2,3.388,2 to 5,N,NA,VF
U2979,Chum,2018-07-23,5.8,8.932,0-25%,12.5,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Amphipoda,Hyperiidea,Physocephalata,Hyperiidae,Themisto,pacifica,NA,Themisto_pacifica,NA,1,2.6,2.6,2.6,1,0.6,0.924,2 to 5,N,NA,VF
U2979,Chum,2018-07-23,5.8,8.932,0-25%,12.5,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Euphausiacea,NA,NA,Euphausiidae,NA,NA,Furcilia,Euphausiidae_Furcilia,NA,1,2.3,2.3,2.3,1,0.1,0.154,2 to 5,N,NA,VF
U2979,Chum,2018-07-23,5.8,8.932,0-25%,12.5,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Euphausiacea,NA,NA,Euphausiidae,NA,NA,Calyptopis,Euphausiidae_Calyptopis,NA,1,0.7,0.7,0.7,2,0.1,0.154,<1,N,NA,VF
U2979,Chum,2018-07-23,5.8,8.932,0-25%,12.5,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Decapoda,Pleocyemata,Anomura,Porcellanidae,NA,NA,Zoea,Porcellanidae_Zoea,NA,1,3.9,3.9,3.9,2,0.1,0.154,2 to 5,N,NA,VF
U2979,Chum,2018-07-23,5.8,8.932,0-25%,12.5,Animalia,Chordata,Tunicata,Appendicularia,NA,Copelata,NA,NA,Oikopleuridae,Oikopleura,NA,NA,Oikopleura,NA,41,3.4,2,2.7,2,2.5,3.85,2 to 5,N,NA,VF
U2979,Chum,2018-07-23,5.8,8.932,0-25%,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,Digested_food,NA,NA,Digested_food,NA,1,1.2,0.3,0.75,4,1,1.54,1 to 2,N,NA,VF
U3328,Chum,2018-07-24,51.9,79.926,25-50%,37.5,Animalia,Chordata,Verbrata,Actinopterygii,NA,NA,NA,NA,NA,NA,NA,Larvae,Actinopterygii_Larvae,NA,3,4.4,1.6,3,2,2.2,3.388,2 to 5,N,NA,VF
U3328,Chum,2018-07-24,51.9,79.926,25-50%,37.5,Chromista,Ochrophyta,Khakista,Bacillariophyceae,Coscinodiscophycidae,NA,NA,NA,NA,NA,NA,NA,Coscinodiscophycidae,NA,1,0.3,0.3,0.3,1,0.1,0.154,<1,N,NA,VF
U3328,Chum,2018-07-24,51.9,79.926,25-50%,37.5,Animalia,Arthropoda,Crustacea,Hexanauplia,Thecostraca,Sessilia,Balanomorpha,NA,NA,NA,NA,Cyprid,Balanomorpha_Cyprid,NA,1,0.5,0.5,0.5,2,0.1,0.154,<1,N,NA,VF
U3328,Chum,2018-07-24,51.9,79.926,25-50%,37.5,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Euphausiacea,NA,NA,Euphausiidae,NA,NA,Furcilia,Euphausiidae_Furcilia,NA,1,4.7,4.7,4.7,1,0.6,0.924,2 to 5,N,NA,VF
U3328,Chum,2018-07-24,51.9,79.926,25-50%,37.5,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Amphipoda,Senticaudata,NA,NA,NA,NA,NA,Senticaudata,NA,1,4.3,4.3,4.3,2,3,4.62,2 to 5,N,NA,VF
U3328,Chum,2018-07-24,51.9,79.926,25-50%,37.5,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Cyclopoida,Ergasilida,NA,Corycaeidae,Ditrichocorycaeus,anglicus,NA,Ditrichocorycaeus_anglicus,NA,1,1,1,1,1,0.1,0.154,<1,N,NA,VF
U3328,Chum,2018-07-24,51.9,79.926,25-50%,37.5,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Cyclopoida,Ergasilida,NA,Corycaeidae,Ditrichocorycaeus,anglicus,NA,Ditrichocorycaeus_anglicus,NA,1,0.5,0.5,0.5,2,0.1,0.154,<1,N,NA,VF
U3328,Chum,2018-07-24,51.9,79.926,25-50%,37.5,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Calanoida,NA,NA,Clausocalanidae,Pseudocalanus,NA,NA,Pseudocalanus,NA,1,1.3,1.3,1.3,1,0.1,0.154,1 to 2,N,NA,VF
U3328,Chum,2018-07-24,51.9,79.926,25-50%,37.5,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Calanoida,NA,NA,NA,NA,NA,NA,Calanoida,NA,1,1.9,1.9,1.9,2,0.1,0.154,2 to 5,N,NA,VF
U3328,Chum,2018-07-24,51.9,79.926,25-50%,37.5,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Calanoida,NA,NA,Calanidae,Calanus,pacificus,NA,Calanus_pacificus,NA,4,3,2.5,2.75,1,2.9,4.466,2 to 5,N,NA,VF
U3328,Chum,2018-07-24,51.9,79.926,25-50%,37.5,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Calanoida,NA,NA,Calanidae,Calanus,marshallae,NA,Calanus_marshallae,NA,3,3.7,3.2,3.45,1,2.9,4.466,2 to 5,N,NA,VF
U3328,Chum,2018-07-24,51.9,79.926,25-50%,37.5,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Calanoida,NA,NA,NA,NA,NA,NA,Calanoida,NA,8,2.9,2.4,2.65,2,5.8,8.932,2 to 5,N,NA,VF
U3328,Chum,2018-07-24,51.9,79.926,25-50%,37.5,Animalia,Chordata,Tunicata,Appendicularia,NA,Copelata,NA,NA,Oikopleuridae,Oikopleura,NA,NA,Oikopleura,NA,235,3.1,2,2.55,2,27.4,42.196,2 to 5,N,NA,VF
U3328,Chum,2018-07-24,51.9,79.926,25-50%,37.5,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Euphausiacea,NA,NA,Euphausiidae,NA,NA,NA,Euphausiidae,NA,1,1.7,1.6,1.65,3,1,1.54,1 to 2,N,NA,VF
U3328,Chum,2018-07-24,51.9,79.926,25-50%,37.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,Digested_food,NA,NA,Digested_food,NA,1,3.5,1,2.25,4,40.6,62.524,2 to 5,N,NA,VF
U3503,Chum,2018-07-25,2.5,3.85,0-25%,12.5,Animalia,Arthropoda,Crustacea,Hexanauplia,Thecostraca,Sessilia,Balanomorpha,NA,Balanidae,Balanus,glandula,Cyprid,Balanus_glandula_Cyprid,NA,1,0.8,0.8,0.8,1,0.1,0.154,<1,N,NA,VF
U3503,Chum,2018-07-25,2.5,3.85,0-25%,12.5,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Calanoida,NA,NA,Calanidae,Calanus,marshallae,NA,Calanus_marshallae,NA,1,3.2,3.2,3.2,2,0.6,0.924,2 to 5,N,NA,VF
U3503,Chum,2018-07-25,2.5,3.85,0-25%,12.5,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Calanoida,NA,NA,Calanidae,Calanus,pacificus,NA,Calanus_pacificus,NA,1,2.9,2.9,2.9,1,0.5,0.77,2 to 5,N,NA,VF
U3503,Chum,2018-07-25,2.5,3.85,0-25%,12.5,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Calanoida,NA,NA,Clausocalanidae,Pseudocalanus,NA,NA,Pseudocalanus,NA,3,1.6,1.3,1.45,1,0.1,0.154,1 to 2,N,NA,VF
U3503,Chum,2018-07-25,2.5,3.85,0-25%,12.5,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Euphausiacea,NA,NA,Euphausiidae,NA,NA,Furcilia,Euphausiidae_Furcilia,NA,3,2.5,2.4,2.45,1,0.1,0.154,2 to 5,N,NA,VF
U3503,Chum,2018-07-25,2.5,3.85,0-25%,12.5,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Euphausiacea,NA,NA,Euphausiidae,NA,NA,Calyptopis,Euphausiidae_Calyptopis,NA,1,2.3,2.3,2.3,2,0.1,0.154,2 to 5,N,NA,VF
U3503,Chum,2018-07-25,2.5,3.85,0-25%,12.5,Animalia,Chordata,Tunicata,Appendicularia,NA,Copelata,NA,NA,Oikopleuridae,Oikopleura,NA,NA,Oikopleura,NA,16,2.2,2,2.1,2,2,3.08,2 to 5,N,NA,VF
U3503,Chum,2018-07-25,2.5,3.85,0-25%,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,Digested_food,NA,NA,Digested_food,NA,1,3,3,3,4,0.8,1.232,2 to 5,N,NA,VF
U3503,Chum,2018-07-25,2.5,3.85,0-25%,12.5,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Euphausiacea,NA,NA,Euphausiidae,NA,NA,Furcilia,Euphausiidae_Furcilia,NA,1,1.1,1.1,1.1,3,0.1,0.154,1 to 2,N,NA,VF
U3327,Chum,2018-07-26,31.4,48.356,25-50%,37.5,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Amphipoda,Hyperiidea,Physocephalata,Hyperiidae,Hyperia,NA,NA,Hyperia,NA,1,4.7,4.7,4.7,2,1,1.54,2 to 5,N,NA,VF
U3327,Chum,2018-07-26,31.4,48.356,25-50%,37.5,Animalia,Arthropoda,Hexapoda,Insecta,NA,Diptera,Nematocera,Culicomorpha,NA,NA,NA,NA,Culicomorpha,NA,4,2.5,1.3,1.9,2,0.9,1.386,1 to 2,N,NA,VF
U3327,Chum,2018-07-26,31.4,48.356,25-50%,37.5,Animalia,Arthropoda,Crustacea,Branchiopoda,Diplostraca,Onychopoda,NA,NA,Podonidae,Podon,leuckartii,NA,Podon_leuckartii,NA,1,0.8,0.8,0.8,1,0.1,0.154,<1,N,NA,VF
U3327,Chum,2018-07-26,31.4,48.356,25-50%,37.5,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Cyclopoida,Ergasilida,NA,Corycaeidae,Ditrichocorycaeus,anglicus,NA,Ditrichocorycaeus_anglicus,NA,1,0.6,0.6,0.6,2,0.1,0.154,<1,N,NA,VF
U3327,Chum,2018-07-26,31.4,48.356,25-50%,37.5,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Calanoida,NA,NA,Calanidae,Calanus,pacificus,NA,Calanus_pacificus,NA,2,2.6,2.3,2.45,1,0.9,1.386,2 to 5,N,NA,VF
U3327,Chum,2018-07-26,31.4,48.356,25-50%,37.5,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Calanoida,NA,NA,NA,NA,NA,NA,Calanoida,NA,2,2,1.7,1.85,2,0.5,0.77,2 to 5,N,NA,VF
U3327,Chum,2018-07-26,31.4,48.356,25-50%,37.5,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Decapoda,Pleocyemata,Anomura,Porcellanidae,NA,NA,Zoea_II,Porcellanidae_Zoea_II,NA,2,10.1,8.6,9.35,1,1.7,2.618,5 to 10,N,NA,VF
U3327,Chum,2018-07-26,31.4,48.356,25-50%,37.5,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Euphausiacea,NA,NA,Euphausiidae,NA,NA,Furcilia,Euphausiidae_Furcilia,NA,4,3.2,3,3.1,2,0.6,0.924,2 to 5,N,NA,VF
U3327,Chum,2018-07-26,31.4,48.356,25-50%,37.5,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Euphausiacea,NA,NA,Euphausiidae,NA,NA,NA,Euphausiidae,NA,2,4.3,1.5,2.9,3,1.9,2.926,2 to 5,N,NA,VF
U3327,Chum,2018-07-26,31.4,48.356,25-50%,37.5,Animalia,Chordata,Tunicata,Appendicularia,NA,Copelata,NA,NA,Oikopleuridae,Oikopleura,NA,NA,Oikopleura,NA,196,3.3,2,2.65,2,22.9,35.266,2 to 5,N,NA,VF
U3327,Chum,2018-07-26,31.4,48.356,25-50%,37.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,Digested_food,NA,NA,Digested_food,NA,1,2.7,1.7,2.2,4,1.3,2.002,2 to 5,N,NA,VF
U3326,Chum,2018-07-26,0,0,0%,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Empty,NA,NA,Empty,NA,0,0,0,0,0,0,0,<1,N,empty stomach,VF
U3325,Chum,2018-07-27,30.1,46.354,25-50%,37.5,Animalia,Arthropoda,Crustacea,Branchiopoda,Diplostraca,Onychopoda,NA,NA,Podonidae,Pleopis,polyphemoides,NA,Pleopis_polyphemoides,NA,1,0.4,0.4,0.4,1,0.1,0.154,<1,N,NA,VF
U3325,Chum,2018-07-27,30.1,46.354,25-50%,37.5,Chromista,Ochrophyta,Khakista,Bacillariophyceae,Coscinodiscophycidae,NA,NA,NA,NA,NA,NA,NA,Coscinodiscophycidae,NA,3,0.3,0.2,0.25,1,0.1,0.154,<1,N,NA,VF
U3325,Chum,2018-07-27,30.1,46.354,25-50%,37.5,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Calanoida,NA,NA,Calanidae,Calanus,marshallae,NA,Calanus_marshallae,NA,2,4.1,3.5,3.8,1,2.8,4.312,2 to 5,N,NA,VF
U3325,Chum,2018-07-27,30.1,46.354,25-50%,37.5,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Calanoida,NA,NA,Calanidae,Calanus,pacificus,NA,Calanus_pacificus,NA,4,2.9,2.5,2.7,1,2.5,3.85,2 to 5,N,NA,VF
U3325,Chum,2018-07-27,30.1,46.354,25-50%,37.5,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Calanoida,NA,NA,NA,NA,NA,NA,Calanoida,NA,3,3,2.7,2.85,2,1.8,2.772,2 to 5,N,NA,VF
U3325,Chum,2018-07-27,30.1,46.354,25-50%,37.5,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Euphausiacea,NA,NA,Euphausiidae,NA,NA,Calyptopis,Euphausiidae_Calyptopis,NA,1,2.1,2.1,2.1,1,0.1,0.154,2 to 5,N,NA,VF
U3325,Chum,2018-07-27,30.1,46.354,25-50%,37.5,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Euphausiacea,NA,NA,Euphausiidae,NA,NA,Furcilia,Euphausiidae_Furcilia,NA,11,3.2,2.4,2.8,1,2.2,3.388,2 to 5,N,NA,VF
U3325,Chum,2018-07-27,30.1,46.354,25-50%,37.5,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Euphausiacea,NA,NA,Euphausiidae,NA,NA,Furcilia,Euphausiidae_Furcilia,NA,2,2.7,1.8,2.25,2,0.1,0.154,2 to 5,N,NA,VF
U3325,Chum,2018-07-27,30.1,46.354,25-50%,37.5,Animalia,Mollusca,NA,Gastropoda,Heterobranchia,Pteropoda,NA,NA,NA,NA,NA,Veliger,Pteropoda_Veliger,NA,2,0.6,0.4,0.5,1,0.1,0.154,<1,N,NA,VF
U3325,Chum,2018-07-27,30.1,46.354,25-50%,37.5,Animalia,Chordata,Verbrata,Actinopterygii,NA,NA,NA,NA,NA,NA,NA,Larvae,Actinopterygii_Larvae,NA,1,5.7,5.7,5.7,2,0.2,0.308,5 to 10,N,NA,VF
U3325,Chum,2018-07-27,30.1,46.354,25-50%,37.5,Animalia,Chordata,Tunicata,Appendicularia,NA,Copelata,NA,NA,Oikopleuridae,Oikopleura,NA,NA,Oikopleura,NA,259,3.2,2,2.6,2,28.3,43.582,2 to 5,N,NA,VF
U3325,Chum,2018-07-27,30.1,46.354,25-50%,37.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,Digested_food,NA,NA,Digested_food,NA,1,2.2,1,1.6,4,6.3,9.702,2 to 5,N,NA,VF
U3325,Chum,2018-07-27,30.1,46.354,25-50%,37.5,Animalia,Cnidaria,NA,Hydrozoa,Hydroidolina,Siphonophorae,NA,NA,NA,NA,NA,NA,Siphonophorae,NA,1,4.6,4.6,4.6,2,0.7,1.078,2 to 5,N,NA,VF
U3325,Chum,2018-07-27,30.1,46.354,25-50%,37.5,Animalia,Arthropoda,Crustacea,Hexanauplia,Thecostraca,Sessilia,Balanomorpha,NA,NA,NA,NA,Nauplii,Balanomorpha_Nauplii,NA,1,0.4,0.4,0.4,1,0.1,0.154,<1,N,NA,VF
U3501,Chum,2018-07-27,2.7,4.158,0-25%,12.5,Animalia,Arthropoda,Crustacea,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crustacea,NA,1,3.7,3.7,3.7,3,0.1,0.154,2 to 5,N,NA,VF
U3501,Chum,2018-07-27,2.7,4.158,0-25%,12.5,Animalia,Platyhelminthes,Rhabditophora,Trematoda,NA,NA,NA,NA,NA,NA,NA,Parasite,Trematoda_Parasite,NA,2,0.9,0.8,0.85,0,0.1,0.154,<1,N,NA,VF
U3501,Chum,2018-07-27,2.7,4.158,0-25%,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,Digested_food,NA,NA,Digested_food,NA,1,6.3,1,3.65,4,3.3,5.082,2 to 5,N,NA,VF
U3502,Chum,2018-07-27,30.2,46.508,0-25%,12.5,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Calanoida,NA,NA,Calanidae,Calanus,marshallae,NA,Calanus_marshallae,NA,1,3.5,3.5,3.5,1,1.2,1.848,2 to 5,N,NA,VF
U3502,Chum,2018-07-27,30.2,46.508,0-25%,12.5,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Euphausiacea,NA,NA,Euphausiidae,NA,NA,Calyptopis,Euphausiidae_Calyptopis,NA,1,2,2,2,1,0.1,0.154,1 to 2,N,NA,VF
U3502,Chum,2018-07-27,30.2,46.508,0-25%,12.5,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Euphausiacea,NA,NA,Euphausiidae,NA,NA,Furcilia,Euphausiidae_Furcilia,NA,3,3,3,3,1,0.8,1.232,2 to 5,N,NA,VF
U3502,Chum,2018-07-27,30.2,46.508,0-25%,12.5,Animalia,Cnidaria,NA,Hydrozoa,Hydroidolina,Siphonophorae,NA,NA,NA,NA,NA,NA,Siphonophorae,NA,1,7.8,7.8,7.8,2,5.4,8.316,5 to 10,N,NA,VF
U3502,Chum,2018-07-27,30.2,46.508,0-25%,12.5,Animalia,Chordata,Tunicata,Appendicularia,NA,Copelata,NA,NA,Oikopleuridae,Oikopleura,NA,NA,Oikopleura,NA,206,3.3,2.4,2.85,2,25.5,39.27,2 to 5,N,NA,VF
U3502,Chum,2018-07-27,30.2,46.508,0-25%,12.5,Animalia,Mollusca,NA,Gastropoda,Heterobranchia,Pteropoda,NA,NA,NA,NA,NA,Veliger,Pteropoda_Veliger,NA,2,0.6,0.6,0.6,2,0.1,0.154,<1,N,NA,VF
U3502,Chum,2018-07-27,30.2,46.508,0-25%,12.5,Chromista,Ochrophyta,Khakista,Bacillariophyceae,Coscinodiscophycidae,NA,NA,NA,NA,NA,NA,NA,Coscinodiscophycidae,NA,1,0.2,0.2,0.2,1,0.1,0.154,<1,N,NA,VF
U2978,Chum,2018-07-27,0.4,0.616,0%,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Digested_food,NA,NA,Digested_food,NA,1,2.2,0.6,1.4,4,0.4,0.616,2 to 5,N,kinda empty stomach,VF
U3765,Pink,2018-07-30,13.9,21.406,0-25%,12.5,Chromista,Ochrophyta,Khakista,Bacillariophyceae,Coscinodiscophycidae,NA,NA,NA,NA,NA,NA,NA,Coscinodiscophycidae,NA,3,0.4,0.3,0.35,1,0.1,0.154,<1,N,NA,VF
U3765,Pink,2018-07-30,13.9,21.406,0-25%,12.5,Animalia,Mollusca,NA,Gastropoda,Heterobranchia,Pteropoda,NA,NA,NA,NA,NA,Veliger,Pteropoda_Veliger,NA,3,0.8,0.6,0.7,2,0.1,0.154,<1,N,NA,VF
U3765,Pink,2018-07-30,13.9,21.406,0-25%,12.5,Animalia,Annelida,NA,Polychaeta,Sedentaria,Spionida,Spioniformia,NA,Spionidae,NA,NA,Nectochaete,Spionidae_Nectochaete,NA,1,1.5,1.5,1.5,1,0.1,0.154,1 to 2,N,NA,VF
U3765,Pink,2018-07-30,13.9,21.406,0-25%,12.5,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Euphausiacea,NA,NA,Euphausiidae,NA,NA,Furcilia,Euphausiidae_Furcilia,NA,1,0.5,0.5,0.5,3,0.1,0.154,<1,N,NA,VF
U3765,Pink,2018-07-30,13.9,21.406,0-25%,12.5,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Amphipoda,Senticaudata,Corophiida,Aoridae,Aoroides,columbiae,NA,Aoroides_columbiae,NA,1,0.9,0.9,0.9,1,0.1,0.154,<1,N,NA,VF
U3765,Pink,2018-07-30,13.9,21.406,0-25%,12.5,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Isopoda,NA,NA,NA,NA,NA,Juvenile,Isopoda_Juvenile,NA,1,0.9,0.9,0.9,1,0.1,0.154,<1,N,NA,VF
U3765,Pink,2018-07-30,13.9,21.406,0-25%,12.5,Animalia,Arthropoda,Crustacea,Hexanauplia,Thecostraca,Sessilia,Balanomorpha,NA,Balanidae,Balanus,glandula,Cyprid,Balanus_glandula_Cyprid,NA,4,0.8,0.7,0.75,1,0.1,0.154,<1,N,NA,VF
U3765,Pink,2018-07-30,13.9,21.406,0-25%,12.5,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Cyclopoida,Ergasilida,NA,Corycaeidae,Ditrichocorycaeus,anglicus,NA,Ditrichocorycaeus_anglicus,NA,3,1,0.8,0.9,1,0.1,0.154,<1,N,NA,VF
